weight,age,height,size
43,18,157.48,S
43,18,167.64,S
44,18,157.48,XXS
45,18,152.4,XXS
45,18,157.48,XXS
45,18,160.02,XXS
45,18,165.1,XXS
46,18,157.48,XXS
46,18,160.02,XXS
47,18,149.86,XXS
47,18,154.94,XXS
47,18,160.02,XXS
47,18,162.56,XXS
47,18,167.64,S
48,18,157.48,XXS
48,18,167.64,XXS
49,18,149.86,XXS
49,18,152.4,XXS
49,18,154.94,XXS
49,18,157.48,S
49,18,160.02,S
49,18,162.56,XXS
49,18,165.1,S
49,18,167.64,S
50,18,154.94,S
50,18,165.1,XXS
50,18,167.64,M
51,18,157.48,S
51,18,162.56,XXS
51,18,165.1,XXS
52,18,152.4,XXS
52,18,157.48,S
52,18,160.02,S
52,18,162.56,M
52,18,165.1,S
52,18,167.64,S
52,18,170.18,XXS
53,18,152.4,S
53,18,160.02,S
53,18,165.1,M
53,18,167.64,S
53,18,170.18,XXS
54,18,157.48,XXS
54,18,160.02,S
54,18,162.56,M
54,18,165.1,S
54,18,167.64,XXS
54,18,172.72,M
56,18,157.48,S
56,18,160.02,M
56,18,165.1,XXS
56,18,167.64,S
56,18,170.18,S
56,18,172.72,XXS
56,18,175.26,S
56,18,177.8,M
56,18,145,M
57,18,160.02,XXS
57,18,162.56,M
57,18,165.1,XXS
57,18,172.72,S
58,18,154.94,S
58,18,160.02,S
58,18,162.56,S
58,18,165.1,S
58,18,167.64,S
58,18,170.18,S
58,18,172.72,S
58,18,175.26,S
58,18,180.34,S
61,18,160.02,S
61,18,162.56,M
61,18,165.1,S
61,18,167.64,S
61,18,170.18,S
61,18,172.72,S
61,18,175.26,S
61,18,177.8,S
61,18,170,S
62,18,172.72,S
63,18,152.4,S
63,18,160.02,S
63,18,167.64,S
63,18,170.18,M
63,18,172.72,S
63,18,177.8,M
64,18,160.02,M
64,18,182.88,M
65,18,160.02,M
65,18,165.1,S
65,18,167.64,S
65,18,170.18,S
65,18,175.26,S
65,18,177.8,S
67,18,154.94,XXS
67,18,180.34,S
68,18,165.1,M
68,18,167.64,S
68,18,170.18,S
68,18,172.72,S
68,18,175.26,M
68,18,177.8,S
70,18,162.56,M
70,18,165.1,S
70,18,177.8,M
70,18,180.34,M
72,18,160.02,S
72,18,167.64,M
72,18,170.18,XXS
72,18,177.8,M
74,18,165.1,S
77,18,172.72,M
79,18,170.18,XL
83,18,175.26,XXS
86,18,165.1,S
86,18,167.64,M
38,19,147.32,M
40,19,147.32,M
40,19,160.02,L
43,19,157.48,L
43,19,160.02,M
45,19,149.86,M
45,19,152.4,M
45,19,154.94,M
